,05701001-0,05701002-9,05702001-6,05703001-1,05703002-K,05703003-8,05703004-6,05703006-2,05704002-5,05705001-2,05706001-8,05707002-1,05710001-K,05713001-6,05715001-7,05716001-2,05717003-4,05717005-0,05721001-K,05722001-5,05722002-3,05730002-7,05730003-5,05730005-1,05730008-6,05734001-0,05735001-6,05737002-5,05737005-K,05741001-9,05746001-6,05748001-7
1996-04-01,19.55000019073486,8.550104171810071,1.0649999976158144,,13.916454389394218,15.28333791997024,15.087990264339433,0.0,40.85000038146973,3.129999995231628,0.5075000077486038,17.050000190734863,67.0,14.519337350396773,16.53198840766506,15.449999809265135,14.205506765774915,15.683690707464695,0.335999995470047,0.49699999392032623,1.0850000381469724,12.732941072479866,15.370139441307103,6.337975493796447,0.04150000028312206,0.003000000026077032,0.3544999957084656,22.39999961853027,14.877808168007059,0.006000000052154064,14.69999980926514,81.6500015258789
1996-05-01,15.80000019073486,5.09235390981935,0.5295000076293945,11.48774899650113,6.272791483362055,14.728286817580424,10.182573240353033,3.691224013108555,30.20000076293945,2.359999895095825,0.6200000047683716,13.5,49.40000152587891,12.341469262857409,8.9249392295696,12.89999961853027,15.873950125546303,15.578395808806556,0.2430000007152557,0.4659999907016754,0.7110000252723694,13.522581530533632,15.836835266099824,6.1171178662552546,0.004000000189989805,0.003000000026077032,0.221000000834465,17.60000038146973,11.325291614722746,0.007000000216066837,17.70000076293945,73.0999984741211
1996-06-01,12.349999904632565,7.737128511768715,0.44850000739097595,11.000088431744077,12.977586918601741,17.334871722933716,13.347654436435402,7.521710220857579,27.60000038146973,2.2549999952316284,0.5294999778270721,11.60000038146973,42.79999923706055,17.989748615739323,9.543491996717417,11.949999809265135,29.314545005479758,10.141410133882598,0.238999992609024,0.40099999308586126,0.6305000185966492,7.814799071666505,14.209936990968188,8.637670653326428,0.004000000189989805,0.003000000026077032,0.2604999989271164,22.34999942779541,10.700786861594558,0.00800000037997961,18.70000076293945,87.5999984741211
1996-07-01,11.30000019073486,0.06632220688287709,0.4659999907016754,14.556024026766812,9.737442410850537,13.739755900588927,11.548880267724234,8.261721065323888,26.5,2.039999961853027,0.5109999775886536,10.60000038146973,41.20000076293945,9.98612128492071,10.04765825688379,10.89999961853027,24.746031249180756,6.399449717355024,0.2230000048875809,0.449999988079071,0.6740000247955322,9.612271596752494,12.965789454787078,13.888740302437165,0.004000000189989805,0.02999999932944775,0.3170000016689301,22.20000076293945,8.852946999799657,0.1889999955892563,13.60000038146973,87.5
1996-08-01,10.69999980926514,4.093730646830117,0.3499999940395355,8.935678361684666,13.222394559231178,7.708810332446687,10.14747119093983,4.210825191954056,25.89999961853027,7.440000057220459,1.889999985694885,10.60000038146973,38.09999847412109,10.695489045984228,3.185955383455562,12.10000038146973,6.092501057739586,6.797370456365426,0.210999995470047,0.367000013589859,0.8429999947547913,10.7452287986667,7.981126327718641,5.977760711734559,0.004000000189989805,0.03099999949336052,0.3179999887943268,20.79999923706055,10.017339148026647,0.4519999921321869,12.80000019073486,84.5
1996-09-01,10.5,4.696096147743079,0.2724999934434891,7.482363133441497,1.18928509515872,5.008115851679169,5.046901813685676,0.03700000047683716,23.45000076293945,1.350000023841858,0.7759999930858612,9.875,37.95000076293945,6.4114104873861475,6.323648104204176,7.425000190734863,7.844024568883187,12.949351359089125,0.20349999517202377,0.3675000071525574,0.7764999866485596,8.602404525769975,7.6590942973035405,7.6904069931458405,0.003000000026077032,0.02300000004470348,0.3260000050067902,10.25,6.295158659217658,0.34300000965595245,8.914999961853027,31.800000190734863
1996-10-01,11.39999961853027,9.44411183302558,0.1959999948740005,6.13932160649277,12.483294995035928,8.747457485473026,7.2591873793367085,0.03700000047683716,37.59999847412109,1.309999942779541,0.777999997138977,9.489999771118164,47.90000152587891,6.887111652732226,3.7491705911888444,5.190000057220459,7.270071640470251,3.5889511465063473,0.2310000061988831,0.4359999895095825,1.309999942779541,8.580223421651514,6.4496586659225335,7.312251149531221,0.004000000189989805,0.01949999947100878,0.3140000104904175,8.260000228881836,9.367562620238981,0.1379999965429306,5.210000038146973,16.70000076293945
1996-11-01,15.050000190734865,8.10016322110712,0.4529999941587448,4.013793777220705,0.3892356432331035,7.841542516763324,5.951694828451643,0.079500000923872,40.19999885559082,1.320000052452087,0.5629999935626984,12.65000009536743,51.39999961853027,3.177845559621879,4.309108712709994,3.450000047683716,13.078241008250176,0.0,0.36900000274181366,0.3904999941587448,1.435000002384186,3.8383145286590175,5.312560975133261,6.086064494036669,0.004000000189989805,0.003000000026077032,0.25049999356269836,8.144999980926514,6.142234220128793,0.17650000005960464,2.0450000762939453,10.349999904632565
1996-12-01,19.10000038146973,29.95553201364583,2.90500009059906,1.6836846321173724,1.718210928643609,5.719915852950798,8.50441977237808,0.1089999973773956,39.59999847412109,1.370000004768372,1.259999990463257,22.5,57.70000076293945,0.8665245508405485,3.07008489575034,3.440000057220459,23.3234702991056,0.0,0.7360000014305115,0.2739999890327454,1.679999947547913,7.896305985780856,6.2804497964452,0.816590852925736,0.003000000026077032,0.003000000026077032,0.2020000070333481,7.889999866485596,6.8344377578439275,0.07199999690055847,1.419999957084656,6.289999961853027
1997-01-01,22.39999961853027,11.020603605844537,6.710000038146973,3.539854279664048,6.878614094603081,4.544567180964802,12.971444050582896,0.101000003516674,49.90000152587891,2.809999942779541,3.430000066757202,39.70000076293945,83.0999984741211,3.1831580602818748,19.93257550014451,3.559999942779541,0.0,8.625250885541382,1.100000023841858,0.2700000107288361,2.299999952316284,12.610950678752879,12.932290539811483,12.050799310231618,0.004000000189989805,0.003000000026077032,0.164000004529953,13.30000019073486,12.267542321844306,0.00800000037997961,0.7300000190734863,2.150000095367432
