,07102005-3,07103001-6,07104002-K,07112001-5,07115001-1,07116001-7,07123001-5,07121006-5
1979-04-01,11.480548060961445,7.171333333333333,18.136666666666667,23.91333333333333,18.846666666666668,0.7857999999999999,39.63834362910082,27.811992893459752
1979-05-01,13.386567801349386,20.110322580645164,26.435483870967747,28.28064516129032,20.85806451612904,3.689032258064516,81.055259592502,74.32723419276175
1979-06-01,8.755295003623576,16.45,17.909999999999993,21.969999999999995,15.883333333333333,1.6056666666666668,156.67399772451398,63.93527246286341
1979-07-01,39.96887784644308,59.809677419354834,61.08387096774193,48.49354838709677,43.96451612903226,17.726774193548387,262.66451822923,328.35445019765666
1979-08-01,37.30449819497231,118.26129032258063,119.6,72.70645161290322,55.693548387096776,38.09354838709677,414.79779061034753,414.8411277367664
1979-09-01,26.414810025224483,33.30362749390727,91.09,54.86333333333332,39.16666666666667,23.696666666666676,318.7233459313098,97.03333333333332
1979-10-01,30.70835756714036,66.09677419354838,67.76129032258066,48.5290322580645,31.958064516129035,9.085333333333333,110.62402120361483,224.75223360673942
1979-11-01,49.92196409255602,76.07000000000001,89.32413793103447,71.57999999999998,38.32666666666667,7.595666666666667,117.42595270506433,185.04020047024102
1979-12-01,73.34133142511266,72.50322580645161,128.59677419354838,114.03225806451611,57.88,3.072294581089788,177.71063774073627,241.56230764299275
1980-01-01,59.52144967710525,35.358064516129026,91.28064516129034,94.09677419354838,41.53548387096775,2.476451612903225,58.255381163267245,23.620577659402766
1980-02-01,25.65281170670386,32.46551724137932,52.5,49.45172413793103,29.417241379310347,2.193571428571429,41.75863176954772,64.50172613136887
1980-03-01,19.775146774907892,30.929032258064517,29.84193548387096,29.883870967741927,23.08709677419355,0.7446239951503119,48.72033601543914,7.9645075713316125
1980-04-01,11.480548060961445,87.2,80.96,51.61333333333334,27.754166666666663,14.013448275862064,40.91686784862347,37.59735175405142
1980-05-01,13.386567801349386,123.37419354838708,127.3608695652174,72.90645161290325,46.35806451612903,3.1541612903225804,76.72440398979938,74.32723419276175
1980-06-01,32.37724005180554,42.88666666666667,115.30333333333334,61.99333333333333,52.96666666666668,28.97813776862882,152.3998028825366,176.41934065498992
1980-07-01,24.00791060133935,32.23548387096775,99.70645161290322,50.00645161290323,38.78709677419355,22.7058064516129,322.0211524776519,328.35445019765666
1980-08-01,22.05570061012358,19.429032258064517,58.26774193548387,31.874193548387098,27.441935483870967,14.186917880811972,133.08147942157953,262.38612162130806
1980-09-01,10.792780694733928,12.508333333333333,42.97666666666666,28.12,23.08,9.00310025421623,117.76666666666668,97.03333333333332
1980-10-01,19.981000985140664,16.019354838709674,55.53548387096774,39.78064516129032,26.12258064516129,5.863870967741934,77.1745130767856,286.218173004203
1980-11-01,25.691842063527037,19.0,75.61,65.49999999999999,32.65333333333333,3.611000000000001,121.87660756520292,170.57831772431757
1980-12-01,79.14598747719955,22.72258064516129,106.258064516129,100.31290322580644,42.56774193548387,2.835483870967741,175.29322323363564,236.4062128240684
1981-01-01,36.284729315103505,13.616129032258067,65.53225806451613,54.13870967741936,32.748387096774195,1.5145235410468476,57.71353036203354,23.620577659402766
